id,prepped_bfsentence_None,masked_sentence,a1,gt_q2
5a70f11a5542994082a3e40b,"Which dog breed, the Schapendoes or the Bull Terrier, has its origins in a greater number of other dog breeds? Schapendoes: The Schapendoes (] ) or Dutch Sheepdog, is a breed of dog originating in the Netherlands.","The Bull Terrier (Miniature) is a breed with origins in the extinct English White Terrier, the Dalmatian and the Bulldog.",Bull Terrier,From what breeds does the Bull Terrier originate?
5a7103b35542994082a3e4c0,"Which mountain, Masherbrum or Khunyang Chhish, is a taller mountain? Khunyang Chhish: Khunyang Chhish or Kunyang Chhish (Urdu: ‎ )is the second-highest mountain in the Hispar Muztagh, a subrange of the Karakoram mountains of Pakistan. Masherbrum: At 7821 m it is the 22nd highest mountain in the world and the 9th highest in Pakistan."," Its height, also sometimes given as 7823 m , is ranked 21st in the world and 8th in Pakistan.",Khunyang Chhish,How tall is Kunyang Chhish?
5a7108fa5542994082a3e4ef,"Which battle, the Battle of Cold Harbor, or the Second Battle of Bull Run, was fought first? Battle of Cold Harbor: The Battle of Cold Harbor was fought from May 31 to June 12, 1864, with the most significant fighting occurring on June 3.","The Second Battle of Bull Run or Battle of Second Manassas was fought August 28–30, 1862 in Prince William County, Virginia, as part of the American Civil War.",Second Battle of Bull Run,When was the Second battle of Bull Run fought?
5a710a1e5542994082a3e4fd,"What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage? Yellow fever: In most cases, symptoms include fever, chills, loss of appetite, nausea, muscle pains particularly in the back, and headaches. In about 15% of people within a day of improving, the fever comes back, abdominal pain occurs, and liver damage begins causing yellow skin.","Flavivirus is a genus of viruses in the family ""Flaviviridae"".",Flavivirus,What is the genus of Flavivirus?
5a710a915542994082a3e504,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography? Edmund Mortimer (actor): Edmund Mortimer (21 August 1874 – 21 May 1944) was an American actor and film director. Lady Elizabeth Percy: Lady Elizabeth Percy (c. 1395 – 26 October 1436) was the daughter of Sir Henry Percy, known to history as 'Hotspur', and Elizabeth Mortimer.","Scott Treleaven is a Canadian artist whose work employs a variety of media including collage, film, video, drawing, photography and installation.",Scott Treleaven,In what media does Scott Treleaven work?
5a711bb55542994082a3e597,"Steven Covey, the father of Sean Covey, wrote what similar sounding title to The 7 Habits of Highly Effective Teens? Stephen Covey: Stephen Richards Covey (October 24, 1932 – July 16, 2012) was an American educator, author, businessman, and keynote speaker. The 7 Habits of Highly Effective Teens: The Seven Habits of Highly Effective Teens is a 1998 bestselling self-help book written by Sean Covey, the son of Stephen Covey. In 1999 Covey released a companion book entitled ""Daily Reflections For Highly Effective Teens""."," His most popular book was ""The 7 Habits of Highly Effective People"".",The 7 Habits of Highly Effective People,What book did Steven Covey write?
5a71224f5542994082a3e5c1,"When was the actor born who starred in Nambia: The Struggle for Liberation and played Roger Murtaugh in the ""Lethal Weapon"" film series? Namibia: The Struggle for Liberation: Namibia: The Struggle for Liberation is a 2007 epic film on the Namibian independence struggle against South African occupation as seen through the life of Sam Nujoma, the leader of the South West Africa People's Organisation and the first president of the Republic of Namibia. The film was written and directed by Charles Burnett, the African American filmmaker, and stars Carl Lumbly and Danny Glover. Danny Glover: He is well known for his leading role as Roger Murtaugh in the ""Lethal Weapon"" film series, ""The Color Purple"" (1985), ""To Sleep with Anger"" (1990), ""Predator 2"" (1990), and ""Angels in the Outfield"" (1994).","Danny Lebern Glover (born July 22, 1946) is an American actor, film director, and political activist.",22-Jul-46,When was Danny Glover born?
5a712beb5542994082a3e61c,"What Golden Globe Award actor starred in the film Little Fugitive? Little Fugitive (2006 film): Little Fugitive is a 2006 remake of the film of the same name. The film is set in present day Brooklyn and tells the story of 11-year-old Lenny (Nicolas Martí Salgado) who must take care of his 7-year-old brother, Joey (David Castro), while their father (Peter Dinklage) is in jail and their mother work long hours a nursing home. Tom Cruise filmography: In 1986, Cruise played a fighter pilot in the Tony Scott-directed action drama ""Top Gun"" (the highest-grossing film that year), and also starred opposite Paul Newman in the Martin Scorsese-directed drama ""The Color of Money""."," He has received numerous accolades, including a Golden Globe Award and two Primetime Emmy Awards.",Peter Dinklage,"Has Peter Dinklage or, Nicolas Marti Salgado, David Castro, or Tom Cruise won a Gonden Globe Award?"
5a712c4b5542994082a3e622,"What heritage site, known for a British explorer, is listed Seventeen Seventy Australia? James Cook: Captain James Cook (7 November 172814 February 1779) was a British explorer, navigator, cartographer, and captain in the Royal Navy.","Captain Cook's Landing Place is a heritage-listed site at Seventeen Seventy, Gladstone Region, Queensland, Australia.",Captain Cook's Landing Place,What heritage-listed site is at Seventeen Seventy in Australia?
5a7131565542994082a3e64f,"Q: Which actor played a role in the comedy series ""30 Rock"" as well as the drama series ""Mad Men""? A: Jon Hamm Jon Hamm: Jonathan Daniel Hamm (born March 10, 1971) is an American actor, director, and television producer best known for playing advertising executive Don Draper for the AMC television drama series, ""Mad Men"" (2007–2015). Anna Howard Shaw Day: The episode originally aired on the National Broadcasting Company (NBC) network in the United States on February 11, 2010."," ""Live Show"" featured appearances by Rachel Dratch, Bill Hader, Matt Damon, Jon Hamm, and Julia Louis-Dreyfus.",Jon Hamm,Did Jon Hamm or Anna Howard Shaw Day appear in 30 Rock?
5a7136e25542994082a3e67e,"What Hong Kong actor born in 1980 will star in ""Heart and Greed""? Heart and Greed: Heart and Greed () is an upcoming 2017 drama produced by TVB and Tencent Penguin Pictures. It stars Louise Lee, Ha Yu, Michelle Yim, Susanna Kwan, Bosco Wong, Vincent Wong, Sharon Chan, Eliza Sam, Louis Yuen, Priscilla Wong, Michael Tong, Nora Miao and Joseph Lee.","Bosco Wong Chung-chak (, born 13 December 1980) is a Hong Kong actor under TVB management and singer under East Asia Music.",Bosco Wong Chung-chak,"Of Louise Lee, Ha Yu, Michelle Yim, Susanna Kwan, Bosco Wong, Vincent Wong, Sharon Chan, Eliza Sam, Louis Yuen, Priscilla Wong, Michael Tong, Nora Miao and Joseph Lee., who was born in 1980 and is from Hong Kong?"
5a7137dc5542994082a3e68a,"Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season? Kevin Durant: He has won an NBA championship, an NBA Most Valuable Player Award, the Bill Russell NBA Finals Most Valuable Player Award, the NBA All-Star Game Most Valuable Player Award, four NBA scoring titles, the NBA Rookie of the Year Award, and two Olympic gold medals.",The National Basketball Association's Rookie of the Year Award is an annual National Basketball Association (NBA) award given to the top rookie(s) of the regular season.,The National Basketball Association's Rookie of the Year,Who is awarded the national Basketball Associations Rookie of the Year Award?
5a71380c5542994082a3e68b,"What iron-hulled steamship designed by Theodore Timby was The Orleans County Monitor Newspaper named after? USS Monitor: USS ""Monitor"" was an iron-hulled steamship. The unique design of the ship, distinguished by its revolving turret which was designed by American inventor Theodore Timby, was quickly duplicated and established the monitor type of warship."," An American Civil War veteran, he named it after the USS ""Monitor"".","USS ""Monitor""",What ship did Theodore Timby name his newspaper after?
5a713a5a5542994082a3e6a9,"What football club plays in the area between the old tool gates: Brook Bar and Trafford bar? Trojans Rugby Football Club: The Trojans Rugby Football Club is an under-nineteen-year-old rugby club originally based out of Lassiter High School. Old Trafford, Greater Manchester: Old Trafford is an area of Stretford, in the Metropolitan Borough of Trafford, Greater Manchester, England, 2 mi southwest of Manchester city centre. The crossroads sites of two old toll gates roughly delineate the borders of the area: Brooks's Bar to the east and Trafford Bar to the west.","Manchester United Football Club is an English football club based in Old Trafford, Greater Manchester.",Manchester United,"What football club plays in Old Trafford, Greater Manchester?"
5a7143625542994082a3e71e,"Who co-founded View Askew Productions and produced numerous movies starring Jason Lee? Monica Hampton: Monica Hampton is an award-winning New York-based narrative and documentary filmmaker. Jason Lee (actor): He is also known for his roles in Kevin Smith films such as ""Mallrats"", ""Chasing Amy"", ""Dogma"", ""Jay and Silent Bob Strike Back"", ""Jersey Girl"", ""Clerks II"" and ""Cop Out""."," While not strictly sequential, the films frequently featured crossover plot elements, character references, and a shared canon described by fans as the ""View Askewniverse"", named after his production company View Askew Productions, which he co-founded with Scott Mosier.",Kevin Smith,Who cofounded View Askew Productions?
5a71474b5542994082a3e74f,"What was triggered by the resignation of Conservative MP Stephen Phillips on 4 November 2016 and was when Caroline Johnson became a Member of Parliament? Sleaford and North Hykeham by-election, 2016: It was triggered by the resignation of Conservative MP Stephen Phillips on 4 November 2016. Caroline Johnson: She has been the Member of Parliament (MP) for Sleaford and North Hykeham since the by-election there on 8 December 2016. Tory Boy: Recently it has been argued that Conservative Future has managed to change the image of young Conservatives from that given by the FCS.",The Sleaford and North Hykeham by-election was a by-election in England for the House of Commons constituency of Sleaford and North Hykeham held on 8 December 2016.,The Sleaford and North Hykeham by-election,What was the Sleaford and North Hykeham by-election?
5a7147fd5542994082a3e758,When was the king that started coin production in Copenhagen born? Royal Mint (Denmark): The first king to start a production of coins in Copenhagen was King Hans.,"John (Danish and Norwegian: ""Hans"" ; Swedish: ""Johan"" ; né ""Johannes"") (2 February 1455 – 20 February 1513) was a Scandinavian monarch under the Kalmar Union.",2 February 1455,When was king John born?
5a7148685542994082a3e761,"Paul Ziert recruited what two time gold medalist in gymnastics? Kiara Nowlin: She was at the 2009 World Age Games held in St. Petersburg, Russia, gold medalist in tumbling (13- to 14-year-old division) and gold medalist in double-mini trampoline (13- to 14-year-old division). Paul Ziert: Ziert recruited Bart Conner to the school."," As a member of the men's gymnastics team at the 1984 Summer Olympic Games, Conner won two gold medals.",Bart Conner,How many gold medals did Bart Conner win?
5a714b645542994082a3e78b,"What year did Lindsey Broad star in the movie with Russell Brand and Jonah Hill? Lindsey Broad: Her film credits include ""21 Jump Street"", ""Don Jon"", and ""Get Him to the Greek"".","Get Him to the Greek is a 2010 American black comedy film written, produced and directed by Nicholas Stoller and starring Russell Brand and Jonah Hill.",2010,"Which movie out of ""21 Jump Street"", ""Don Jon"", and ""Get Him to the Greek"" was released in 2010 and starred Lrussel Brand and Jonah Hill?"
5a714dea5542994082a3e7a9,"Which 2009 animated film is from Japan, Summer Wars or The Secret of Kells? Romance of the Three Kingdoms (2009 animation): Romance of the Three Kingdoms is a 2009 animated television series joint produced by the Beijing Huihuang Animation Company of China and Future Planet of Japan. The Secret of Kells: The Secret of Kells is a 2009 French-Belgian-Irish animated fantasy film animated by Cartoon Saloon that premiered on 8 February 2009 at the 59th Berlin International Film Festival.","Summer Wars (Japanese: サマーウォーズ , Hepburn: Samā Wōzu ) is a 2009 Japanese animated science fiction film directed by Mamoru Hosoda, animated by Madhouse and distributed by Warner Bros.",Summer Wars,What country is Summer Wars from?
5a714f6f5542994082a3e7b3,"How many people live in the County serviced by The Collier Area Transit system? Collier Area Transit: Collier Area Transit (CAT) is the public transportation system in Collier County, Florida. Collier County, Florida: Collier County is a county in the U.S. state of Florida."," As of the 2010 census, the population was 321,520.","321,520","How many people live in Collier County, Florida?"
5a7150c75542994082a3e7be,What is the capacity of the stadium that hosts games of the team that was coached by Barry Switzer in 1981? 1981 Oklahoma Sooners football team: The 1981 Oklahoma Sooners football team represented the University of Oklahoma during the 1981 NCAA Division I-A football season. They played their home games at Oklahoma Memorial Stadium and competed as members of the Big Eight Conference. They were coached by head coach Barry Switzer.," The official seating capacity of the stadium, following renovations in 2015, is 86,112, making it the 23rd largest stadium in the world, the 15th largest college stadium in the United States and the second largest in the Big 12 Conference, behind Darrell K Royal–Texas Memorial Stadium at the University of Texas at Austin.","86,112",What is the capacity of Oklahoma Memorial Stadium?
5a7153d05542994082a3e7dc,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque? Bayezid II Mosque: The Bayezid II Mosque (Turkish: ""Beyazıt Camii, Bayezid Camii"" ) is an Ottoman imperial mosque located in the Beyazıt Square area of Istanbul, Turkey, near the ruins of the Forum of Theodosius of ancient Constantinople.","Nusretiye Mosque is an ornate mosque located in Tophane district of Beyoğlu, Istanbul, Turkey.",Nusretiye Mosque,What is the style of Nusretiye Mosque?
5a71646e5542994082a3e80e,"What is the proper name for the steroid used by the retired British track sprinter who is one of the fastest European sprinters in the history of athletics? Dwain Chambers: Dwain Anthony Chambers (born 5 April 1978) is a retired British track sprinter. He has won international medals at World and European level and is one of the fastest European sprinters in the history of athletics. He received a two-year athletics ban in 2003 after testing positive for THG, a banned performance-enhancing drug.","Tetrahydrogestrinone (THG), often referred to by its nickname The Clear, is a synthetic, orally active anabolic-androgenic steroid (AAS) which was never marketed.",Tetrahydrogestrinone,What is the full proper name of the steroid THG?
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area? University of Kansas: The main campus in Lawrence, one of the largest college towns in Kansas, is on Mount Oread, the highest elevation in Lawrence. Two branch campuses are in the Kansas City metropolitan area: the Edwards Campus in Overland Park, and the university's medical school and hospital in Kansas City.",Kansas Song (We’re From Kansas) is a fight song of the University of Kansas.,Kansas Song,What is the name of the fight song of the University of Kansas?
5a71674f5542994082a3e819,"When was the magazine Sam Duckworth got his name Get Cape. Wear Cape. Fly from launched? Get Cape. Wear Cape. Fly: According to Duckworth, his original stage name came from Retro Gamer magazine, from an article about superhero games such as ""Batman"" containing the heading ""Get Cape."," Although launched in January 2004 as a quarterly publication, ""Retro Gamer"" soon became a monthly.",Jan-04,When was Retro Gamer magazine launched?
5a716a9b5542994082a3e821,"What actor from ""Willow"" also starred in ""The Usual Suspects""? Kevin Pollak: Kevin Elliot Pollak (born October 30, 1957) is an American actor, impressionist, and comedian. In 1988, he landed a role in ""Willow"", his first major role in a film. Bad Hat Harry Productions: Bad Hat Harry Productions is an American film and television production company founded in 1994 by director Bryan Singer."," It stars Stephen Baldwin, Gabriel Byrne, Benicio del Toro, Kevin Pollak, Chazz Palminteri, Pete Postlethwaite, and Kevin Spacey.",Kevin Elliot Pollak,"Who starred in ""The Usual Suspects""?"
5a716ec85542994082a3e82d,"Which movie was filmed first ""The Guest"" or ""You're Next""? The White Hell of Pitz Palu: Written by Arnold Fanck and Ladislaus Vajda, the film is about a man who loses his wife in an avalanche while climbing the Piz Palü mountain, and spends the next few years searching the mountain alone for her body. You're Next: You're Next is a 2011 American slasher film directed by Adam Wingard, written by Simon Barrett and starring Sharni Vinson, Nicholas Tucci, Wendy Glenn, A. J. Bowen and Joe Swanberg.","The Guest is a 2014 American action horror-thriller film directed and edited by Adam Wingard and written by Simon Barrett, both of whom previously collaborated on a previous film, ""You're Next"" (2011).",You're Next,In what year was The Guest filmed?
5a716eeb5542994082a3e82e,"What actor starred with Virginia Katherine McMath in Star of Midnight? Ginger Rogers: Ginger Rogers (born Virginia Katherine McMath; July 16, 1911 – April 25, 1995) was an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, partnered with Fred Astaire.", William Powell was loaned out in this movie from MGM to star with Ginger Rogers.,William Powell,"Who starred in ""Star of Midnight"" besides Ginger Rogers? "
5a7172105542994082a3e837,"What film did Tom Wu appear in that also starred Jason Statham and Ray Liotta? Tom Wu: He was born in Hong Kong and grew up in Chinatown, London.","Revolver is a 2005 British-French crime thriller film co-written and directed by Guy Ritchie and starring Jason Statham, Ray Liotta, Vincent Pastore and André Benjamin.",Revolver,"What film starred Jason Statham, and Ray Liotta?"
5a7195a05542994082a3e881,"in what year did the Israeli presidential elections take place after the resignation of the seventh president of Israel? Ezer Weizman: Ezer Weizman (Hebrew: עזר ויצמן‎ ‎ ""Ezer Vaytsman""; 15 June 1924 – 24 April 2005) was the seventh President of Israel, first elected in 1993 and re-elected in 1998.","Elections for the President of Israel were held in the Knesset on 31 July 2000, following Ezer Weizman's resignation.",2000,When was the election following Ezer Weizman's resignation held?
5a7217f255429971e9dc9260,"Which Member of Parliament for Macclesfield was married to Jane Ann Winterton? Henry Brett (colonel): He was very handsome, and the lady's sympathy is said to have been evoked by an assault committed on him by bailiffs opposite her windows. Nicholas Winterton: Sir Nicholas Raymond Winterton (born 31 March 1938) is a retired British Conservative Party politician. He was the Member of Parliament (MP) for Macclesfield from 1971 until he retired from the House of Commons at the 2010 general election."," She is married to Sir Nicholas Winterton, also a former Conservative MP.",Sir Nicholas Raymond Winterton,Who is married to Sir Nicholas Raymond Winterton?
5a72239a55429971e9dc92cf,"Who was soldier Archie A. Peck's commanding officer during the Meuse-Argonne Offensive? Lost Battalion (World War I): The Lost Battalion is the name given to nine companies of the United States 77th Division, roughly 554 men, isolated by German forces during World War I after an American attack in the Argonne Forest in October 1918. Archie A. Peck: Archie A. Peck (November 22, 1894 – September 15, 1978) was a soldier in the United States Army who received the Medal of Honor for his actions during World War I. While serving as a private foot soldier in the US 77th Division during the Meuse-Argonne Offensive, his unit ended up with several others behind German lines, in what was later known as ""the Lost Battalion"".", They were led by Major Charles White Whittlesey.,Major Charles White Whittlesey,Who led the US 77th Division during the Meuse-Argonne Offensive?
5a722a6855429971e9dc9320,"What is the character's name for which Anna Leonidovna Kovalchuk won a prize in the legal festival ""Law and Society""? Anna Kovalchuk: The winner of the prize for the presentation of the image of ""good character"" in the international legal Festival ""Law and Society"" for the title role in the television series ""Tainy Sledstviya"".", The television series follows the work of a Chief Detective Maria Shvetsova (played by Anna Kovalchuk)of a St.Petersburg Saint Petersburg District IC Investigative Committee of Russia.,Chief Detective Maria Shvetsova,What character did Anna Kovalchuk play in Tayny sledstviya?
5a72334755429971e9dc934c,"""Heartbreak Hurricane"" was recorded by which country artist, that also goes by the name Ricky Skaggs? Heartbreak Hurricane: ""Heartbreak Hurricane"" is a song written by Larry Cordle and Jim Rushing, and recorded by American country music artist Ricky Skaggs.","Rickie Lee Skaggs (born July 18, 1954), known professionally as Ricky Skaggs, is an American country and bluegrass singer, musician, producer, and composer.",Rickie Lee Skaggs,Who is known professionally as Ricky Skaggs?
5a7252db5542990c210a4104,"What is the name of the oldest child that attended the Trump campaign-Russian meeting? Zeresenay Alemseged: The “world’s oldest child”, she is the most complete skeleton of a human ancestor discovered to date. Trump campaign–Russian meeting: On June 9, 2016, a meeting was held in Trump Tower in New York City between three senior members of the presidential campaign of Donald TrumpDonald Trump Jr., Jared Kushner, and Paul Manafortand at least five other people, including Russian lawyer Natalia Veselnitskaya."," He is the oldest child of the 45th President of the United States, Donald Trump, and his first wife, Ivana.",Donald Trump Jr.,Who is Donald Trump's oldest child?
5a72634d5542997f82783994,what city will host the event in which marie gisele eleme asse won twoo medals in 2017 Marie Gisèle Eleme Asse: Marie Gisèle Eleme Asse (born 13 November 1995) is a Cameroonian sprinter She won two medals at the 2017 Jeux de la Francophonie.,"The 2017 Jeux de la Francophonie, also known as ""VIIIèmes Jeux de la Francophonie"" (French for ""8th Francophone Games""), will be held in Abidjan, Ivory Coast, from July 21–30.",Abidjan,In what city was the 2017 Juex de la Francophonie held?
5a7265825542997f827839a3,"What Olympic medal did the opponent of Crawford Ashley for the World Boxing Association (WBA) World super middleweight title win in 1984? Crawford Ashley: Crawford ""Chilling"" Ashley (born Gary Crawford, 20 May 1964 in Leeds is an English professional super middle/light heavy/cruiser/heavyweight boxer of the 1980s, '90s and 2000s, who won the British Boxing Board of Control (BBBofC) Central Area light heavyweight title, BBBofC British light heavyweight title, European Boxing Union (EBU) light heavyweight title (twice), and Commonwealth light heavyweight title (twice), drew with Yawe Davis for the vacant European Boxing Union (EBU) light heavyweight title, and was a challenger for the European Boxing Union (EBU) light heavyweight title against Graciano Rocchigiani, World Boxing Association (WBA) World super middleweight title against Michael Nunn, World Boxing Association (WBA) World light heavyweight title against Virgil Hill, and World Boxing Union (WBU) cruiserweight title against Sebastiaan Rothmann, his professional fighting weight varied from 163 lb , i.e. super middleweight to 211 lb , i.e. heavyweight."," As an amateur, Hill won a silver medal in the middleweight division at the 1984 Summer Olympics.",a silver medal,What medal did Hill win in 1984?
5a7265a95542992359bc307a,"In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held? 2013 America East Men's Lacrosse Tournament: The 2013 America East Men's Lacrosse Tournament was the 14 edition of the America East Conference Men's Lacrosse Tournament and took place from May 2 to May 4 at Kenneth P. LaValle Stadium in Stony Brook, New York.", Construction began in 2000 at a cost of approximately $22 million.,in 2000,In what year did construction begin on the Kenneth P. LaValle Stadium?
5a7268235542992359bc3081,"What unit of the Air National Guard is located at a base that was home to the 509th Bomb Wing flying the General Dynamics FB-111A? Pease Air National Guard Base: It occupies a portion of what was once Pease Air Force Base, a former Strategic Air Command facility with a base-related population of 10,000 and which was home to the 509th Bomb Wing (509 BW) flying the General Dynamics FB-111A.","The 133d Air Refueling Squadron (133 ARS) is a unit of the New Hampshire Air National Guard 157th Air Refueling Wing located at Pease Air National Guard Base, Portsmouth, New Hampshire, United States.",133d Air Refueling Squadron,What unit of the Air National Guard is located at the Pease Air National Guard Base?
5a726ba35542997f827839c0,"Which racecar driver who performed in the 1971 Canadian Grand Prix was born in 1937? 1971 Canadian Grand Prix: The 1971 Canadian Grand Prix was a Formula One motor race held at Mosport Park on September 19, 1971. American Mark Donohue scored an excellent third on his F1 debut. Peter Ryan (racing driver): He participated in one Grand Prix, the 1961 United States Grand Prix at Watkins Glen, finishing ninth.","Mark Neary Donohue Jr. (March 18, 1937 – August 19, 1975), nicknamed ""Captain Nice,"" and later ""Dark Monohue,"" was an American racecar driver known for his ability to set up his own race car as well as driving it to victories.",Mark Neary Donohue Jr.,"Who was bron in 1937, Mark Donohue or Peter Ryan?"
5a727ca45542994cef4bc2d8,"What is Old Orchard Shopping Center currently called? River Oaks Center: The elder Klutznick had developed Park Forest, Illinois, after World War II, as well as Oakbrook Center in Oak Brook in 1959 and Old Orchard Shopping Center in Skokie in 1956.","Westfield Old Orchard, formerly Old Orchard Shopping Center, is a shopping mall in the Chicago metropolitan area.",Westfield Old Orchard,What place was former called the Old Orchard Shopping Center?
5a727e1b5542991f9a20c497,"In which song was written by singer-songwriter Taylor Swift and shares the optimistic lyrical message to a song called ""Yodel It!""? Fearless (Taylor Swift song): Musically, it contains qualities commonly found in country pop music and, lyrically, is about a perfect first date. Yodel It!: ""Yodel It!"" The track's optimistic lyrical message was compared to that of Taylor Swift's ""Shake It Off"" (2014).","""Shake It Off"" is a song recorded by American singer-songwriter Taylor Swift from her fifth album, ""1989"" (2014).",Shake It Off,Who wrote Shake It Off?
5a72814f5542994cef4bc2eb,"The American Astronomical Society presents an award named after what New Zealand astronomer? Heather A. Knutson: <ref name=""https://aas.org/grants-and-prizes/newton-lacy-pierce-prize-astronomy"">American Astronomical Society: Newton Lacy Pierce Prize in Astronomy | American Astronomical Society, accessdate: June 15, 2016</ref> Beatrice M. Tinsley Prize: The Beatrice M. Tinsley Prize is awarded every other year by the American Astronomical Society in recognition of an outstanding research contribution to astronomy or astrophysics of an exceptionally creative or innovative character. The prize is named in honor of the cosmologist and astronomer Beatrice Tinsley.","Beatrice Muriel Hill Tinsley (27 January 1941 – 23 March 1981) was a British-born New Zealand astronomer and cosmologist whose research made fundamental contributions to the astronomical understanding of how galaxies evolve, grow and die.",Beatrice Tinsley,Who was beatrice Muriel Hill Tinsley?
5a72830e5542994cef4bc2f9,"Where is the company that distributed XXXTentacion's single ""Revenge"" based? Revenge (song): ""Revenge"", originally titled as ""Garrett's Revenge"" is a single by American recording artist XXXTentacion.","EMPIRE is an American distribution company and record label based in San Francisco, California with offices in New York City and Atlanta.","San Francisco, California",Who distributed Revenge and where are they based?
5a7283365542991f9a20c4b2,"Allison Gross is a character in a story which applies what writing technique that introduces characters in threes? Allison Gross: Allison Gross, a hideous witch, tries to bribe the narrator to be her ""leman"". His sister Maisry came to him to comb his hair. One day the Seelie Court came by, and a queen stroked him three times, turning him back into his proper form.","The rule of three is a writing principle that suggests that events or characters introduced in threes are more humorous, satisfying, or effective in execution of the story and engaging the reader.",rule of three,What is a writing technique that introduces characters in threes?
5a728f3c5542992359bc30f4,"Which football club appeared in the 2015 FA Community Shield Cup, as well as, the 2014–15 Premier League championship? 2015 FA Community Shield: The 2015 FA Community Shield (also known as the 2015 FA Community Shield supported by McDonald's for sponsorship reasons) was the 93rd FA Community Shield, an annual English football match played between the winners of the previous season's Premier League and FA Cup. 2014–15 Premier League: The fixtures were announced on 18 June 2014."," The match was contested by Arsenal, the 2014–15 FA Cup winners, and Chelsea, champions of the 2014–15 Premier League.",Chelsea,Who appeared in the 2014-15 Premier League championship?
5a7291c35542991f9a20c4f4,"What movie was directed by Harold Ramis and stars Bill Murray? Caddyshack: The film was later dedicated to producer Douglas Kenney, who died shortly after the film's release. Harold Ramis: Harold Allen Ramis (November 21, 1944 – February 24, 2014) was an American actor, director, writer, and comedian. As a director, his films include the comedies ""Caddyshack"" (1980), ""National Lampoon's Vacation"" (1983), ""Groundhog Day"" (1993), and ""Analyze This"" (1999).","Groundhog Day is a 1993 American fantasy-comedy film directed by Harold Ramis, starring Bill Murray, Andie MacDowell, and Chris Elliott.",Groundhog Day,"Out of ""Caddyshack"", ""National Lampoon's Vacation"", ""Groundhog Day"", and ""Analyze This"", which movie stars Bill Murray?"
